City,Country,City ID,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Punta Arenas,CL,3874787,-53.15,-70.9167,46.4,87,0,10.36,1619272607
Gannan,CN,2037311,47.9147,123.5031,48.7,23,0,5.12,1619272608
Hobart,AU,2163355,-42.8794,147.3294,50.0,66,40,6.91,1619272609
Rundu,NA,3353383,-17.9333,19.7667,84.65,17,0,3.33,1619272609
Mataura,NZ,6201424,-46.1927,168.8643,43.0,92,14,5.01,1619272610
Aykhal,RU,2027296,66.0,111.5,22.41,94,85,8.9,1619272611
Touros,BR,3386213,-5.1989,-35.4608,84.2,70,40,8.05,1619272611
Saskylakh,RU,2017155,71.9167,114.0833,32.86,93,100,14.18,1619272612
New Norfolk,AU,2155415,-42.7826,147.0587,50.0,80,100,1.01,1619272613
Pahrump,US,5509851,36.2083,-115.9839,63.0,33,100,12.48,1619272614
Vestmannaeyjar,IS,3412093,63.4427,-20.2734,44.6,93,90,19.57,1619272614
Tiksi,RU,2015306,71.6872,128.8694,27.01,94,100,10.85,1619272615
São Filipe,CV,3374210,14.8961,-24.4956,72.21,74,45,11.86,1619272616
Opochka,RU,515155,56.7105,28.6617,42.26,59,100,12.53,1619272617
Assiniboia,CA,5887798,49.6334,-105.9845,26.6,46,13,4.61,1619272618
Cape Town,ZA,3369157,-33.9258,18.4232,72.0,53,0,12.66,1619272496
Yellowknife,CA,6185377,62.456,-114.3525,14.0,78,20,2.3,1619272619
Yangi Marg`ilon,UZ,1513491,40.4272,71.7189,71.6,23,100,9.22,1619272620
Bluff,NZ,2206939,-46.6,168.3333,43.0,92,70,5.01,1619272620
Punta Cardon,VE,3629614,11.6581,-70.215,81.55,71,39,25.59,1619272622
Taloqan,AF,1123004,36.7361,69.5345,65.1,37,65,3.44,1619272622
Busselton,AU,2075265,-33.65,115.3333,59.0,85,1,3.69,1619272623
La Ronge,CA,6050066,55.1001,-105.2842,17.6,62,16,5.75,1619272624
Ribeira Grande,PT,3372707,38.5167,-28.7,60.8,67,75,10.36,1619272624
Seoul,KR,1835848,37.5683,126.9778,59.0,76,0,5.75,1619272519
Kulunda,RU,1501460,52.566,78.9385,45.5,38,20,4.25,1619272626
Castro,BR,3466704,-24.7911,-50.0119,69.78,55,25,1.39,1619272438
North Branch,US,5039421,45.5113,-92.9802,34.0,99,99,7.0,1619272628
Vilyuysk,RU,2013392,63.7553,121.6247,33.67,95,100,6.11,1619272628
Bambanglipuro,ID,1650434,-7.95,110.2833,77.32,79,2,3.85,1619272629
Ushuaia,AR,3833367,-54.8,-68.3,44.6,81,75,5.75,1619272631
Sitka,US,5557293,57.0531,-135.33,44.6,49,20,5.75,1619272631
Arica,CL,3899361,-18.475,-70.3042,66.2,68,90,5.75,1619272632
Codrington,AU,2171099,-38.2667,141.9667,51.51,87,100,5.77,1619272633
Abu Kamal,SY,174448,34.4506,40.9171,92.34,10,94,2.17,1619272634
Thompson,CA,6165406,55.7435,-97.8558,15.8,62,75,3.74,1619272501
Port Alfred,ZA,964432,-33.5906,26.891,73.24,64,13,14.54,1619272635
Vaini,TO,4032243,-21.2,-175.2,71.6,94,40,1.14,1619272636
Belaya Gora,RU,2126785,68.5333,146.4167,-0.78,100,90,2.19,1619272636
Cap-aux-Meules,CA,5915327,47.3821,-61.8597,41.0,75,37,17.27,1619272637
Acaraú,BR,3408368,-2.8856,-40.12,85.59,68,78,12.06,1619272638
Maltahöhe,NA,3355624,-24.8333,16.9833,81.1,16,6,6.78,1619272639
Springfield,US,4409896,37.2153,-93.2982,52.0,93,90,12.66,1619272573
Malanje,AO,2239862,-9.5402,16.341,75.2,94,90,6.91,1619272640
Mossamedes,AO,3347019,-15.1961,12.1522,84.07,69,93,11.83,1619272641
Bredasdorp,ZA,1015776,-34.5322,20.0403,75.0,58,96,1.99,1619272642
Bambous Virieux,MU,1106677,-20.3428,57.7575,80.01,89,75,11.5,1619272642
Mahébourg,MU,934322,-20.4081,57.7,78.8,89,75,11.5,1619272643
Saldanha,ZA,3361934,-33.0117,17.9442,63.07,77,79,15.01,1619272644
Mar del Plata,AR,3430863,-38.0023,-57.5575,68.0,82,75,9.22,1619272644
Atuona,PF,4020109,-9.8,-139.0333,80.22,75,54,21.92,1619272645
Mawlamyine,MM,1308465,16.4914,97.6256,83.8,72,59,8.86,1619272646
Tres Arroyos,AR,3833859,-38.3739,-60.2798,62.89,54,26,14.9,1619272647
Jamestown,US,5122534,42.097,-79.2353,55.0,49,1,9.22,1619272647
Upernavik,GL,3418910,72.7868,-56.1549,34.07,82,44,2.59,1619272648
Talnakh,RU,1490256,69.4865,88.3972,33.21,98,100,8.1,1619272649
Kentville,CA,5991148,45.0835,-64.4988,57.0,47,5,13.8,1619272650
Prosvet,RU,1494071,55.5703,65.0825,47.32,43,100,13.09,1619272650
Qaanaaq,GL,3831208,77.484,-69.3632,25.16,63,100,9.84,1619272651
Karratha,AU,6620339,-20.7377,116.8463,80.33,51,0,2.37,1619272652
Yumen,CN,1528998,40.2833,97.2,55.76,21,100,7.99,1619272652
Kosovo Polje,XK,789228,42.6394,21.0961,57.0,41,75,10.36,1619272653
Progreso,MX,3521108,21.2833,-89.6667,80.01,88,75,14.97,1619272654
Samarai,PG,2132606,-10.6167,150.6667,81.91,79,100,11.41,1619272655
Ust'-Ilimsk,RU,2013952,58.0006,102.6619,32.25,98,100,2.77,1619272655
Garchitorena,PH,1713191,13.8804,123.6946,78.64,83,31,5.12,1619272656
Toguchin,RU,1489508,55.2353,84.3858,37.98,72,100,6.62,1619272657
Okhotsk,RU,2122605,59.3833,143.3,17.56,78,70,9.46,1619272657
Puerto Ayora,EC,3652764,-0.7393,-90.3518,78.01,93,18,5.99,1619272658
Ponta Delgada,PT,3372783,37.7333,-25.6667,57.2,88,75,17.27,1619272659
Chunskiy,RU,1507636,56.0815,99.6342,33.71,90,100,3.02,1619272660
Hermanus,ZA,3366880,-34.4187,19.2345,75.0,58,95,1.99,1619272660
Bathsheba,BB,3374083,13.2167,-59.5167,84.2,54,40,17.27,1619272662
Ballina,AU,2177069,-28.8667,153.5667,57.2,94,88,3.62,1619272662
Hilo,US,5855927,19.7297,-155.09,69.8,83,75,3.31,1619272663
Richards Bay,ZA,962367,-28.783,32.0377,70.07,86,91,16.37,1619272664
Adrar,MR,2381972,20.5022,-10.0711,97.39,9,0,9.15,1619272665
Chokurdakh,RU,2126123,70.6333,147.9167,-12.35,99,8,3.89,1619272665
Arraial do Cabo,BR,3471451,-22.9661,-42.0278,78.8,69,0,13.8,1619272666
Pisco,PE,3932145,-13.7,-76.2167,66.2,88,0,2.86,1619272488
Bengkulu,ID,1649150,-3.8004,102.2655,78.4,82,100,4.74,1619272667
Tuktoyaktuk,CA,6170031,69.4541,-133.0374,12.2,79,75,6.91,1619272668
Nikolskoye,RU,546105,59.7035,30.7861,45.0,56,75,6.71,1619272669
Leningradskiy,RU,2123814,69.3833,178.4167,17.92,96,100,3.91,1619272669
Nouakchott,MR,2377450,18.0858,-15.9785,77.0,65,0,21.85,1619272670
San Francisco,US,5391959,37.7749,-122.4194,51.8,76,75,6.91,1619272050
Xiaoweizhai,CN,1789945,26.1903,107.5125,60.64,94,96,6.71,1619272671
Avera,US,4231997,33.194,-82.5271,57.2,96,90,11.5,1619272672
Strezhevoy,RU,1490796,60.7333,77.5889,42.8,87,0,4.47,1619272673
Guhāgar,IN,1270779,17.4842,73.1929,82.6,65,0,10.09,1619272673
Rørvik,NO,3141310,64.8621,11.2373,38.01,62,81,24.49,1619272674
Lebu,CL,3883457,-37.6167,-73.65,54.5,78,5,13.13,1619272675
Chui,UY,3443061,-33.6971,-53.4616,68.2,79,100,7.99,1619272676
Fortuna,US,5563839,40.5982,-124.1573,50.0,100,90,9.22,1619272676
Constitución,CL,3893726,-35.3333,-72.4167,60.6,64,0,6.24,1619272677
Butaritari,KI,2110227,3.0707,172.7902,81.59,76,100,8.21,1619272678
Atar,MR,2381334,20.5169,-13.0499,98.37,8,0,8.79,1619272678
George Town,MY,1735106,5.4112,100.3354,84.2,74,20,2.3,1619272460
Kruisfontein,ZA,986717,-34.0033,24.7314,70.43,61,100,7.36,1619272680
Cairns,AU,2172797,-16.9167,145.7667,75.2,94,90,10.36,1619272517
Sirte,LY,2210554,31.2089,16.5887,65.17,70,43,20.71,1619272682
Laguna,US,5364271,38.421,-121.4238,51.01,76,90,20.71,1619272683
Mount Isa,AU,2065594,-20.7333,139.5,77.0,27,12,12.66,1619272683
Sorong,ID,1626542,-0.8833,131.25,80.02,84,100,8.28,1619272684
Portland,US,5746545,45.5234,-122.6762,46.99,88,100,1.99,1619272181
Mackay,AU,2159220,-21.15,149.2,68.0,100,90,13.8,1619272685
Arrondissement de Lannion,FR,3007608,48.75,-3.4167,69.8,42,0,14.97,1619272686
Clyde River,CA,5924351,70.4692,-68.5914,14.0,92,75,6.91,1619272687
Boissevain,CA,5905191,49.2306,-100.0559,36.0,43,1,12.66,1619272688
Biak,ID,1637001,-0.9131,122.8766,78.28,77,78,3.94,1619272688
Muros,ES,3115824,42.7762,-9.0603,68.0,70,100,3.74,1619272689
Taos,US,5493811,36.4072,-105.5731,41.0,80,1,3.44,1619272690
Kashipur,IN,1267579,29.2167,78.95,83.28,12,0,8.21,1619272690
Longyearbyen,SJ,2729907,78.2186,15.6401,26.6,68,75,11.5,1619272691
Cabedelo,BR,3404558,-6.9811,-34.8339,78.8,94,75,3.44,1619272692
Ponta do Sol,PT,2264557,32.6667,-17.1,66.2,59,40,9.22,1619272693
Saint-Augustin,CA,6137462,51.226,-58.6502,35.37,90,99,10.56,1619272693
Nouadhibou,MR,2377457,20.931,-17.0347,73.4,64,0,17.27,1619272694
Hirara,JP,1862505,24.8,125.2833,71.38,77,100,20.62,1619272695
Cockburn Town,TC,3576994,21.4612,-71.1419,78.28,77,42,20.04,1619272696
Kapaa,US,5848280,22.0752,-159.319,73.4,78,40,16.11,1619272697
Cherskiy,RU,2126199,68.75,161.3,23.41,96,100,3.18,1619272697
Karaton,ID,1630058,-6.3424,106.1045,86.0,70,20,2.3,1619272698
Brigantine,US,4500920,39.4101,-74.3646,66.0,44,1,6.91,1619272582
Abaeté,BR,3473267,-19.16,-45.4458,81.84,40,7,1.19,1619272699
Prado,BR,3452483,-17.3411,-39.2208,82.24,66,19,3.49,1619272700
Parakou,BJ,2392204,9.3372,2.6303,98.83,30,100,2.35,1619272701
Ulladulla,AU,2145554,-35.35,150.4667,53.6,100,70,6.91,1619272702
Sokoni,TZ,149812,-6.4333,39.55,89.6,62,20,12.66,1619272702
Rikitea,PF,4030556,-23.1203,-134.9692,76.62,77,100,10.78,1619272703
Lompoc,US,5367788,34.6391,-120.4579,50.0,81,19,3.89,1619272654
Beaumont,US,4672989,30.0861,-94.1019,75.2,94,90,5.75,1619272704
Dikson,RU,1507390,73.5069,80.5464,18.3,93,100,25.99,1619272705
Albany,US,5106841,42.6001,-73.9662,61.0,27,87,1.01,1619272706
Malakal,SS,370737,9.5334,31.6605,99.59,26,17,5.35,1619272706
Ciudad Bolivar,VE,3645532,8.1222,-63.5497,88.16,48,32,12.62,1619272707
East London,ZA,1006984,-33.0153,27.9116,73.4,53,0,12.66,1619272511
Ardino,BG,733638,41.5833,25.1333,57.99,51,90,5.75,1619272708
Copacabana,CO,3685949,6.3463,-75.5089,60.01,94,75,4.61,1619272709
New Amsterdam,GY,3376762,6.25,-57.5167,79.38,89,100,7.76,1619272710
Ponazyrevo,RU,506696,58.3578,46.3142,52.79,62,100,11.01,1619272711
Grand Gaube,MU,934479,-20.0064,57.6608,80.01,82,100,7.0,1619272712
Saint Paul Harbor,US,5866583,57.79,-152.4072,39.2,93,90,4.61,1619272712
Kavieng,PG,2094342,-2.5744,150.7967,81.09,77,17,6.82,1619272713
Torbay,CA,6167817,47.6666,-52.7314,46.0,70,75,23.02,1619272714
Vallenar,CL,3868633,-28.5708,-70.7581,65.5,52,0,3.0,1619272714
Rocha,UY,3440777,-34.4833,-54.3333,64.56,90,100,8.28,1619272715
Khatanga,RU,2022572,71.9667,102.5,32.4,96,100,14.76,1619272716
Port Blair,IN,1259385,11.6667,92.75,83.12,68,46,7.0,1619272717
Mulanje,MW,925789,-16.0316,35.5,75.15,71,82,4.14,1619272717
Derzhavīnsk,KZ,1524606,51.1,66.3167,52.77,30,100,17.29,1619272719
Hithadhoo,MV,1282256,-0.6,73.0833,83.64,68,71,5.5,1619272423
Ancud,CL,3899695,-41.8697,-73.8203,51.01,93,90,9.22,1619272720
Esperance,AU,2071860,-33.8667,121.9,62.6,77,100,8.05,1619272720
Barrow,US,5880054,71.2906,-156.7887,17.6,86,1,5.75,1619272721
Butterworth,MY,1735076,5.3991,100.3638,84.2,74,20,2.3,1619272722
Lewistown,US,5197850,40.5992,-77.5714,57.0,45,68,2.1,1619272723
Mount Gambier,AU,2156643,-37.8333,140.7667,50.0,100,75,5.75,1619272723
Khasan,RU,2039557,42.4308,130.6434,45.19,67,1,8.93,1619272724
Hong Kong,HK,1819729,22.2855,114.1577,77.0,85,24,1.99,1619272514
Cayenne,GF,3382160,4.9333,-52.3333,77.0,94,75,11.5,1619272725
Asău,RO,686090,46.4333,26.4,59.0,23,90,3.15,1619272726
Faanui,PF,4034551,-16.4833,-151.75,79.57,75,100,7.14,1619272727
San Patricio,US,4726521,28.017,-97.5169,73.99,100,40,6.91,1619272727
Avarua,CK,4035715,-21.2078,-159.775,78.8,73,75,11.5,1619272728
Puerto Carreño,CO,3671519,6.189,-67.4859,85.87,56,99,0.63,1619272729
Lüderitz,NA,3355672,-26.6481,15.1594,70.47,64,1,9.93,1619272730
Fort Nelson,CA,5955902,58.8053,-122.7002,19.4,86,75,4.61,1619272730
Tura,IN,1254046,25.5198,90.2201,79.12,30,59,3.22,1619272731
Waddān,LY,2209055,29.1614,16.139,83.39,26,0,16.58,1619272732
Muroto-misakicho,JP,1856392,33.2833,134.15,61.92,67,0,1.43,1619272732
Vanimo,PG,2084442,-2.6741,141.3028,78.84,85,89,2.13,1619272733
Houston,US,4699066,29.7633,-95.3633,75.0,88,1,3.44,1619272122
Alofi,NU,4036284,-19.0595,-169.9187,75.2,94,51,4.61,1619272734
Namangan,UZ,1513157,40.9983,71.6726,68.0,34,100,2.3,1619272735
Palmer,US,4946620,42.1584,-72.3287,61.0,35,20,8.05,1619272736
Muisne,EC,3653967,0.6,-80.0333,77.0,94,75,6.91,1619272737
Hasaki,JP,2112802,35.7333,140.8333,51.8,87,20,3.44,1619272737
Margate,GB,2643044,51.3813,1.3862,53.01,75,11,5.99,1619272738
Gōtsuchō,JP,1863521,35.0,132.2167,54.88,79,98,2.66,1619272739
Nanortalik,GL,3421765,60.1432,-45.2371,41.18,72,97,2.8,1619272739
Saint George,US,5546220,37.1041,-113.5841,60.01,26,1,8.05,1619272740
Youghal,IE,2960869,51.95,-7.8506,52.0,71,75,15.01,1619272741
Ulety,RU,2014369,51.3572,112.4849,44.92,22,100,4.05,1619272742
Taltal,CL,3870243,-25.4,-70.4833,63.63,73,0,2.68,1619272743
Sennar,SD,367644,13.5691,33.5672,100.47,18,66,17.22,1619272743
Spring Hill,US,4173838,28.4769,-82.5255,77.0,78,1,13.8,1619272637
Hanzhong,CN,1808857,33.0728,107.0303,58.55,76,100,3.71,1619272745
San-Pédro,CI,2282006,4.7485,-6.6363,87.71,65,67,12.62,1619272746
Amga,RU,2027786,60.8953,131.9608,10.24,97,58,2.84,1619272747
Bokoro,TD,2434985,12.3807,17.0568,106.84,11,68,2.75,1619272748
‘Āhuimanu,US,5856516,21.4447,-157.8378,73.4,73,90,12.66,1619272749
Ilulissat,GL,3423146,69.2167,-51.1,37.4,60,75,4.61,1619272750
Nizhniy Ufaley,RU,520473,55.9153,59.9842,44.78,58,100,9.93,1619272751
Phalodi,IN,1259813,27.1333,72.3667,89.73,12,0,11.3,1619272752
Katsuura,JP,2112309,35.1333,140.3,60.8,72,40,11.5,1619272752
Vilhena,BR,3924679,-12.7406,-60.1458,77.0,83,0,8.05,1619272753
Caravelas,BR,3466980,-17.7125,-39.2481,82.92,62,20,5.12,1619272754
Hyvinkää,FI,656913,60.6333,24.8667,37.99,74,100,6.26,1619272755
Pevek,RU,2122090,69.7008,170.3133,10.44,93,100,2.71,1619272756
Zhigansk,RU,2012530,66.7697,123.3711,33.58,99,100,9.44,1619272757
Agüimes,ES,2522325,27.9054,-15.4461,72.0,68,75,4.61,1619272757
Luwuk,ID,1637001,-0.9516,122.7875,79.14,78,89,3.85,1619272758
Carnarvon,AU,2074865,-24.8667,113.6333,71.6,83,0,6.91,1619272759
Ostrovnoy,RU,556268,68.0531,39.5131,37.96,100,100,4.88,1619272760
Pangnirtung,CA,6096551,66.1451,-65.7125,35.94,79,30,1.32,1619272760
Kirakira,SB,2178753,-10.4544,161.9205,79.25,78,90,4.5,1619272761
Yerbogachën,RU,2012956,61.2767,108.0108,29.98,92,100,1.59,1619272762
Deputatsky,RU,2028164,69.3,139.9,-1.71,91,98,5.21,1619272762
Ransang,PH,1691872,8.9603,117.5828,79.09,83,93,2.46,1619272763
Mettet,BE,2791261,50.3212,4.6623,55.4,47,21,12.66,1619272764
Tsiroanomandidy,MG,1054463,-18.7667,46.0333,75.33,69,16,3.42,1619272765
Kaina,NG,2334674,12.6374,8.5873,104.0,21,20,6.91,1619272765
Tovarkovo,RU,481941,54.6762,35.9386,44.6,57,0,15.66,1619272766
Escárcega,MX,3527795,18.6089,-90.7454,81.41,63,100,8.81,1619272767
Glotovka,RU,561179,53.9491,46.7042,50.29,75,100,10.25,1619272768
Basqal,AZ,587033,40.7552,48.391,69.8,52,40,13.8,1619272769
Russell,US,4047434,32.3502,-85.1999,64.0,94,90,16.11,1619272770
Piaçabuçu,BR,3454005,-10.4056,-36.4344,82.83,72,26,8.61,1619272771
Puerto Escondido,MX,3520994,15.85,-97.0667,77.0,83,40,5.75,1619272771
San Fernando del Valle de Catamarca,AR,3837702,-28.4696,-65.7852,64.99,93,99,5.01,1619272772
Tasiilaq,GL,3424607,65.6145,-37.6368,39.2,60,75,4.61,1619272773
Ugoofaaru,MV,1337619,5.6667,73.0,84.36,70,15,5.14,1619272773
Orzhytsya,UA,698346,49.7918,32.7012,46.17,43,97,17.25,1619272774
Tulun,RU,2014927,54.5611,100.5792,31.55,82,100,0.85,1619272775
Vestmanna,FO,2610343,62.1564,-7.1664,51.8,66,85,5.75,1619272776
Provideniya,RU,4031574,64.3833,-173.3,31.59,90,100,0.85,1619272776
Takoradze,GH,2294915,4.8845,-1.7554,86.68,68,100,12.41,1619272777
Jardim,BR,3460087,-21.4803,-56.1381,88.2,23,84,7.83,1619272778
Libreville,GA,2399697,0.3925,9.4537,82.4,78,40,9.22,1619272779
Turan,VN,1583992,16.0678,108.2208,82.4,89,20,4.61,1619272780
Ust-Nera,RU,2120048,64.5667,143.2,-3.84,85,14,1.95,1619272780
Geraldton,AU,2070998,-28.7667,114.6,66.2,94,2,8.05,1619272493
Farias Brito,BR,3400497,-6.9306,-39.5656,86.16,54,84,4.43,1619272782
Luzhou,CN,1801640,28.8724,105.4405,67.12,86,69,5.12,1619272782
Osypenko,UA,698316,46.9136,36.8253,57.0,100,57,18.01,1619272783
Hartford,US,4835806,41.7668,-72.7662,63.0,31,1,6.91,1619272712
Okha,RU,2122614,53.5739,142.9478,25.95,87,48,8.52,1619272784
Penzance,GB,2640377,50.1186,-5.5371,55.4,58,0,33.38,1619272785
Saint-Philippe,RE,935215,-21.3585,55.7679,77.0,88,90,24.16,1619272786
Waingapu,ID,1622318,-9.6567,120.2641,77.34,83,65,6.35,1619272786
Tahoua,NE,2439376,14.8888,5.2692,105.8,6,20,4.61,1619272589
Nūh,IN,1261145,28.1167,77.0167,88.0,16,0,8.05,1619272788
Banjar,ID,1650232,-8.19,114.9675,82.4,83,20,10.36,1619272788
Barreirinha,BR,3406202,-2.7933,-57.07,86.47,63,100,3.47,1619272789
Dingle,PH,1714733,10.9995,122.6711,78.08,81,71,3.38,1619272790
Vagay,RU,1487860,57.9375,69.0217,47.89,42,100,4.83,1619272790
Cidreira,BR,3466165,-30.1811,-50.2056,73.87,67,53,11.83,1619272791
Khanpur,PK,1174167,28.6453,70.6567,92.55,15,0,7.07,1619272792
Raudeberg,NO,3146487,61.9875,5.1352,42.01,75,25,17.2,1619272793
Yabassi,CM,2221046,4.457,9.9682,86.0,74,75,5.75,1619272794
Nyköping,SE,2687700,58.753,17.0079,42.8,45,75,13.8,1619272795
Port Elizabeth,ZA,964420,-33.918,25.5701,68.0,68,0,8.05,1619272796
Kholtoson,RU,2022369,50.2981,103.3097,32.32,99,100,1.7,1619272797
Bethel,US,5282297,41.3712,-73.414,61.0,33,1,5.75,1619272797
Luga,RU,533690,58.7372,29.8453,41.68,61,97,6.29,1619272798
Juazeiro,BR,3397154,-9.4117,-40.4986,84.2,70,20,11.5,1619272799
Airai,TL,1651810,-8.9266,125.4092,58.39,91,55,1.99,1619272799
Padang,ID,1633419,-0.9492,100.3543,78.8,89,40,2.3,1619272800
College,US,5859699,64.8569,-147.8028,33.8,74,20,5.75,1619272801
Brownsville,US,4676740,25.9018,-97.4975,77.0,88,90,4.61,1619272802
Lastoursville,GA,2399870,-0.8143,12.7287,73.31,91,100,2.26,1619272803
Paducah,US,4048662,37.0834,-88.6001,53.6,87,90,5.75,1619272803
Carauari,BR,3664659,-4.8828,-66.8958,83.14,76,59,2.84,1619272804
Talaya,RU,2120769,61.3833,152.75,-11.04,100,25,2.51,1619272806
Tamboril,DO,3492517,19.4854,-70.611,80.6,83,75,6.91,1619272808
Linxia Chengguanzhen,CN,1803331,35.6003,103.2064,47.05,72,100,3.85,1619272809
Tuatapere,NZ,2180815,-46.1333,167.6833,43.0,92,87,5.01,1619272811
Andenes,NO,3163146,69.3143,16.1194,36.0,80,75,8.05,1619272812
Road Town,VG,3577430,18.4167,-64.6167,82.99,69,40,11.5,1619272813
Padeş,RO,671559,45.0167,22.85,61.3,38,13,5.55,1619272814
Kudat,MY,1736458,6.8837,116.8477,78.8,94,20,2.3,1619272815
Wajir,KE,178443,1.7471,40.0573,93.2,46,75,6.91,1619272815
Jauja,PE,3937733,-11.7758,-75.4966,54.12,64,4,1.61,1619272816
Termez,UZ,1215957,37.2242,67.2783,82.4,14,0,2.3,1619272817
Chulym,RU,1507679,55.0997,80.9572,40.26,64,11,5.93,1619272818
Iquitos,PE,3696183,-3.7481,-73.2472,77.0,88,75,4.61,1619272818
Umm Kaddadah,SD,364933,13.6017,26.6876,103.53,8,54,8.77,1619272819
Lafia,NG,2332515,8.4833,8.5167,91.42,46,100,10.45,1619272820
Haikou,CN,1809078,20.0458,110.3417,80.6,83,40,6.71,1619272821
Ormara,PK,1168700,25.2088,64.6357,81.91,78,0,9.95,1619272821
Ürümqi,CN,1529102,43.801,87.6005,41.0,45,0,8.95,1619272822
Umba,RU,479071,66.6871,34.3429,38.44,87,100,1.88,1619272823
Balingasay,PH,1728091,16.3573,119.8564,79.59,75,1,12.62,1619272824
Coos Bay,US,5720495,43.3665,-124.2179,46.99,100,90,5.75,1619272602
Tataouine,TN,2464701,32.9297,10.4518,73.4,35,0,9.22,1619272825
Ust-Tsilma,RU,477940,65.441,52.1498,53.15,63,92,9.15,1619272826
Praia da Vitória,PT,3372760,38.7333,-27.0667,60.8,82,75,30.74,1619272827
Husavik,IS,2629833,66.0449,-17.3389,55.4,54,0,3.44,1619272827
San Cristobal,VE,3628473,7.7669,-72.225,80.6,74,40,2.3,1619272828
Flic en Flac,MU,934517,-20.2742,57.3631,80.01,89,75,11.5,1619272829
Guaraniaçu,BR,3461892,-25.1008,-52.8781,69.8,56,0,8.05,1619272829
Kumul,CN,1529484,42.8,93.45,55.0,17,0,13.47,1619272830
Flinders,AU,6255012,-34.5833,150.8552,54.0,80,28,1.01,1619272831
Iqaluit,CA,5983720,63.7506,-68.5145,33.8,86,75,10.36,1619272832
Angoche,MZ,1052944,-16.2325,39.9086,78.51,74,28,9.42,1619272832
Salalah,OM,286621,17.0151,54.0924,83.77,69,0,8.99,1619272833
Kang,BW,933692,-23.6752,22.7876,80.1,16,0,3.31,1619272834
Katsina,NG,2334802,12.9894,7.6006,104.36,10,37,3.74,1619272834
Krasnogorsk,RU,542374,55.8225,37.3181,42.01,87,90,17.9,1619272835
Ailigandí,PA,3714956,9.2333,-78.0167,81.63,79,67,7.96,1619272836
Tilichiki,RU,2120591,60.4667,166.1,20.53,94,98,5.08,1619272837
Baharly,TM,162158,38.4362,57.4316,76.95,40,100,11.34,1619272837
Olinda,BR,3393536,-8.0089,-34.8553,82.4,65,40,10.36,1619272838
Kango,GA,2400682,0.1943,10.0951,73.2,96,100,1.63,1619272839
Gravdal,NO,3155152,68.1214,13.5031,37.4,60,40,10.36,1619272840
Lagoa,PT,3372964,39.05,-27.9833,58.53,79,6,27.67,1619272840
